dataset,model_family,seed,depth,setting,constraint,method,valid,abstained,cost_l1,cost_l2,sparsity,plausibility,utility,regret,route_accuracy,runtime_sec,chosen_alpha,projection_route
bank,tree,7,3,subgroup_shift,r2_realistic,fixed_blend_no_repair,1.0,0.0,5.86482405953221,2.347005813175738,6.8,2.2588053360643947,6.543644859941869,2.3333300811324507,0.4,0.00017436002381145954,0.25,0.0
bank,tree,7,3,subgroup_shift,r2_realistic,knn_mean_k5,1.0,0.0,5.699121336605893,2.395364670361027,6.4,2.2364519907614087,6.354589135220105,2.144274356410686,,8.399831131100654e-07,0.0,0.0
bank,tree,7,3,subgroup_shift,r2_realistic,learned_alpha,0.6,0.0,1.698084392954641,1.173177659617824,3.2,2.770383662890787,402.2736419423883,398.0633271635789,0.6,0.0003046399913728237,0.9565000000000013,0.2
bank,tree,7,3,subgroup_shift,r2_realistic,learned_router,1.0,0.0,4.18632873924648,1.9285931883895884,4.8,2.507689776310292,4.802482205693024,0.5921674268836052,0.8,0.00016281998250633478,0.55,0.4
bank,tree,7,3,subgroup_shift,r2_realistic,learned_router_no_geometry,1.0,0.0,5.86482405953221,2.347005813175738,6.8,2.2588053360643947,6.543644859941869,2.3333300811324507,0.4,0.0002648599911481142,0.25,0.0
bank,tree,7,3,subgroup_shift,r2_realistic,learned_router_no_shift,1.0,0.0,4.18632873924648,1.9285931883895884,4.8,2.507689776310292,4.802482205693024,0.5921674268836052,0.8,0.00016281998250633478,0.55,0.4
bank,tree,7,3,subgroup_shift,r2_realistic,nn_positive_train,1.0,0.0,6.26215696921835,2.4846223323000345,6.8,2.2077452555750874,6.933318757554614,2.7230039787451945,,9.800074622035027e-07,0.0,0.0
bank,tree,7,3,subgroup_shift,r2_realistic,projection_only,0.6,0.0,1.727174669526209,1.2020177818401876,2.0,2.7793905175502385,402.24408324715876,398.0337684683493,0.6,7.979990914463998e-06,1.0,1.0
bank,tree,7,3,subgroup_shift,r2_realistic,rule_router,0.6,0.0,1.727174669526209,1.2020177818401876,2.0,2.7793905175502385,402.24408324715876,398.0337684683493,0.6,7.979990914463998e-06,1.0,1.0
bank,tree,7,3,subgroup_shift,r2_realistic,safe_router,0.4,0.6,2.0,1.4142135623730951,2.0,2.941964411472006,3.459507718909655,-0.7508070598997638,0.8,0.005244980030693114,0.55,0.4
bank,tree,7,3,subgroup_shift,r2_realistic,utility_router,1.0,0.0,4.790073262905798,2.0769168838504064,5.6,2.4720625302102075,5.440882642437328,1.2305678636279105,0.6,0.0002135799964889884,0.4,0.2
bank,tree,7,3,subgroup_shift,r2_realistic,utility_router_guarded,1.0,0.0,4.790073262905798,2.0769168838504064,5.6,2.4720625302102075,5.440882642437328,1.2305678636279105,0.6,0.0002135799964889884,0.4,0.2
bank,tree,7,3,subgroup_shift,r2_realistic,utility_router_no_geometry,1.0,0.0,5.86482405953221,2.347005813175738,6.8,2.2588053360643947,6.543644859941869,2.3333300811324507,0.4,0.0002648599911481142,0.25,0.0
bank,tree,7,3,subgroup_shift,r2_realistic,utility_router_no_shift,1.0,0.0,4.790073262905798,2.0769168838504064,5.6,2.4720625302102075,5.440882642437328,1.2305678636279105,0.6,0.0002135799964889884,0.4,0.2
bank,tree,13,3,covariate_shift,r2_realistic,cascade_exact_auto,1.0,0.0,0.5854602302880327,0.5854602302880327,1.0,2.6482223079429046,1.0326935764794685,0.0,0.05555555555555555,0.028791044431272894,1.0,1.0
bank,tree,13,3,covariate_shift,r2_realistic,exact_tree_milp,0.2777777777777778,0.0,2.0000000383136984,1.4142135623730954,2.0,2.5657345704064674,722.9124611732985,721.8797675968191,0.6666666666666666,0.05747046110789395,-1.0,0.0
bank,tree,13,3,covariate_shift,r2_realistic,fixed_blend,1.0,0.0,0.5854602302880327,0.5854602302880327,1.0,2.6482223079429046,1.0326935764794685,0.0,0.05555555555555555,8.677766244444581e-06,1.0,1.0
bank,tree,13,3,covariate_shift,r2_realistic,fixed_blend_no_repair,1.0,0.0,0.5854602302880327,0.5854602302880327,1.0,2.6482223079429046,1.0326935764794685,0.0,0.05555555555555555,3.744440618902445e-06,1.0,1.0
bank,tree,13,3,covariate_shift,r2_realistic,knn_mean_k5,1.0,0.0,8.35858523902594,2.8074194521473297,10.38888888888889,1.991835892588337,9.176805067358636,8.144111490879165,,9.666546247899532e-07,0.0,0.0
bank,tree,13,3,covariate_shift,r2_realistic,learned_alpha,1.0,0.0,0.5939664477274925,0.586639080272961,1.1666666666666667,2.6467890121875404,1.049318132888957,0.016624556409488407,0.05555555555555555,0.001977105566766113,0.9131250000000001,0.0
bank,tree,13,3,covariate_shift,r2_realistic,learned_router,1.0,0.0,0.5854602302880327,0.5854602302880327,1.0,2.6482223079429046,1.0326935764794685,0.0,0.05555555555555555,8.677766244444581e-06,1.0,1.0
bank,tree,13,3,covariate_shift,r2_realistic,learned_router_no_geometry,1.0,0.0,0.5854602302880327,0.5854602302880327,1.0,2.6482223079429046,1.0326935764794685,0.0,0.05555555555555555,8.677766244444581e-06,1.0,1.0
bank,tree,13,3,covariate_shift,r2_realistic,learned_router_no_shift,1.0,0.0,0.5854602302880327,0.5854602302880327,1.0,2.6482223079429046,1.0326935764794685,0.0,0.05555555555555555,8.677766244444581e-06,1.0,1.0
bank,tree,13,3,covariate_shift,r2_realistic,nn_positive_train,0.3333333333333333,0.0,6.570370777193805,2.4552242497044063,8.38888888888889,2.220214693252962,673.9895140922929,672.9568205158134,,1.1055639738010036e-06,0.0,0.0
bank,tree,13,3,covariate_shift,r2_realistic,projection_only,1.0,0.0,0.5854602302880327,0.5854602302880327,1.0,2.6482223079429046,1.0326935764794685,0.0,0.05555555555555555,8.677766244444581e-06,1.0,1.0
bank,tree,13,3,covariate_shift,r2_realistic,rule_router,1.0,0.0,0.5854602302880327,0.5854602302880327,1.0,2.6482223079429046,1.0326935764794685,0.0,0.05555555555555555,8.677766244444581e-06,1.0,1.0
bank,tree,13,3,covariate_shift,r2_realistic,safe_router,1.0,0.0,0.5854602302880327,0.5854602302880327,1.0,2.6482223079429046,1.0326935764794685,0.0,0.05555555555555555,8.677766244444581e-06,1.0,1.0
bank,tree,13,3,covariate_shift,r2_realistic,utility_router,1.0,0.0,0.5854602302880327,0.5854602302880327,1.0,2.6482223079429046,1.0326935764794685,0.0,0.05555555555555555,8.677766244444581e-06,1.0,1.0
bank,tree,13,3,covariate_shift,r2_realistic,utility_router_guarded,1.0,0.0,0.5854602302880327,0.5854602302880327,1.0,2.6482223079429046,1.0326935764794685,0.0,0.05555555555555555,8.677766244444581e-06,1.0,1.0
bank,tree,13,3,covariate_shift,r2_realistic,utility_router_no_geometry,1.0,0.0,0.5854602302880327,0.5854602302880327,1.0,2.6482223079429046,1.0326935764794685,0.0,0.05555555555555555,8.677766244444581e-06,1.0,1.0
bank,tree,13,3,covariate_shift,r2_realistic,utility_router_no_shift,1.0,0.0,0.5854602302880327,0.5854602302880327,1.0,2.6482223079429046,1.0326935764794685,0.0,0.05555555555555555,8.677766244444581e-06,1.0,1.0
bank,tree,13,3,exemplar_mismatch,r2_realistic,cascade_exact_auto,1.0,0.0,0.3846216521866592,0.3846216521866592,1.0,2.473559733187812,0.8056556121648311,0.0,0.05555555555555555,0.039153783329917737,1.0,1.0
bank,tree,13,3,exemplar_mismatch,r2_realistic,exact_tree_milp,0.2777777777777778,0.0,2.000000024792722,1.4142135623730951,2.0,2.4123104444923484,722.9060684976297,722.1004128854647,0.7222222222222222,0.054454161112921104,-1.0,0.0
bank,tree,13,3,exemplar_mismatch,r2_realistic,fixed_blend,1.0,0.0,0.3846216521866592,0.3846216521866592,1.0,2.473559733187812,0.8056556121648311,0.0,0.05555555555555555,8.849996245569653e-06,1.0,1.0
bank,tree,13,3,exemplar_mismatch,r2_realistic,fixed_blend_no_repair,1.0,0.0,0.3846216521866592,0.3846216521866592,1.0,2.473559733187812,0.8056556121648311,0.0,0.05555555555555555,3.711094096716907e-06,1.0,1.0
bank,tree,13,3,exemplar_mismatch,r2_realistic,knn_mean_k5,1.0,0.0,8.116593780324916,2.784616219511285,10.11111111111111,2.024500595378886,8.925824425187304,8.120168813022474,,9.944326140814358e-07,0.0,0.0
bank,tree,13,3,exemplar_mismatch,r2_realistic,learned_alpha,1.0,0.0,0.39275633860648473,0.3864955318883485,1.1111111111111112,2.4737921805175955,0.8193807212396795,0.01372510907484856,0.0,0.002163711094504429,0.9160416666666666,0.0
bank,tree,13,3,exemplar_mismatch,r2_realistic,learned_router,1.0,0.0,0.3846216521866592,0.3846216521866592,1.0,2.473559733187812,0.8056556121648311,0.0,0.05555555555555555,8.849996245569653e-06,1.0,1.0
bank,tree,13,3,exemplar_mismatch,r2_realistic,learned_router_no_geometry,1.0,0.0,0.3846216521866592,0.3846216521866592,1.0,2.473559733187812,0.8056556121648311,0.0,0.05555555555555555,8.849996245569653e-06,1.0,1.0
bank,tree,13,3,exemplar_mismatch,r2_realistic,learned_router_no_shift,1.0,0.0,0.3846216521866592,0.3846216521866592,1.0,2.473559733187812,0.8056556121648311,0.0,0.05555555555555555,8.849996245569653e-06,1.0,1.0
bank,tree,13,3,exemplar_mismatch,r2_realistic,nn_positive_train,0.2777777777777778,0.0,5.782405434094167,2.3274948827197868,6.666666666666667,2.234759242171939,728.6731748759755,727.8675192638107,,9.388895705342293e-07,0.0,0.0
bank,tree,13,3,exemplar_mismatch,r2_realistic,projection_only,1.0,0.0,0.3846216521866592,0.3846216521866592,1.0,2.473559733187812,0.8056556121648311,0.0,0.05555555555555555,8.849996245569653e-06,1.0,1.0
bank,tree,13,3,exemplar_mismatch,r2_realistic,rule_router,1.0,0.0,0.3846216521866592,0.3846216521866592,1.0,2.473559733187812,0.8056556121648311,0.0,0.05555555555555555,8.849996245569653e-06,1.0,1.0
bank,tree,13,3,exemplar_mismatch,r2_realistic,safe_router,1.0,0.0,0.3846216521866592,0.3846216521866592,1.0,2.473559733187812,0.8056556121648311,0.0,0.05555555555555555,8.849996245569653e-06,1.0,1.0
bank,tree,13,3,exemplar_mismatch,r2_realistic,utility_router,1.0,0.0,0.3846216521866592,0.3846216521866592,1.0,2.473559733187812,0.8056556121648311,0.0,0.05555555555555555,8.849996245569653e-06,1.0,1.0
bank,tree,13,3,exemplar_mismatch,r2_realistic,utility_router_guarded,1.0,0.0,0.3846216521866592,0.3846216521866592,1.0,2.473559733187812,0.8056556121648311,0.0,0.05555555555555555,8.849996245569653e-06,1.0,1.0
bank,tree,13,3,exemplar_mismatch,r2_realistic,utility_router_no_geometry,1.0,0.0,0.3846216521866592,0.3846216521866592,1.0,2.473559733187812,0.8056556121648311,0.0,0.05555555555555555,8.849996245569653e-06,1.0,1.0
bank,tree,13,3,exemplar_mismatch,r2_realistic,utility_router_no_shift,1.0,0.0,0.3846216521866592,0.3846216521866592,1.0,2.473559733187812,0.8056556121648311,0.0,0.05555555555555555,8.849996245569653e-06,1.0,1.0
bank,tree,13,3,in_domain,r2_realistic,cascade_exact_auto,1.0,0.0,0.3846216521866592,0.3846216521866592,1.0,2.473559733187812,0.8056556121648311,0.0,0.05555555555555555,0.03465317220737537,1.0,1.0
bank,tree,13,3,in_domain,r2_realistic,exact_tree_milp,0.2777777777777778,0.0,2.000000024792722,1.4142135623730951,2.0,2.4123104444923484,722.9060684976297,722.1004128854647,0.6666666666666666,0.05611460555034379,-1.0,0.0
bank,tree,13,3,in_domain,r2_realistic,fixed_blend,1.0,0.0,0.3846216521866592,0.3846216521866592,1.0,2.473559733187812,0.8056556121648311,0.0,0.05555555555555555,7.622215586404006e-06,1.0,1.0
bank,tree,13,3,in_domain,r2_realistic,fixed_blend_no_repair,1.0,0.0,0.3846216521866592,0.3846216521866592,1.0,2.473559733187812,0.8056556121648311,0.0,0.05555555555555555,4.149999262558089e-06,1.0,1.0
bank,tree,13,3,in_domain,r2_realistic,knn_mean_k5,1.0,0.0,7.065260896867535,2.57537896062195,8.88888888888889,1.9064563588326162,7.795673795136872,6.990018182972041,,9.388895705342293e-07,0.0,0.0
bank,tree,13,3,in_domain,r2_realistic,learned_alpha,1.0,0.0,0.39620120948848503,0.38835770416749527,1.1111111111111112,2.4740860818656607,0.8228696773238897,0.017214065159058663,0.0,0.002190449992970874,0.91625,0.0
bank,tree,13,3,in_domain,r2_realistic,learned_router,1.0,0.0,0.3846216521866592,0.3846216521866592,1.0,2.473559733187812,0.8056556121648311,0.0,0.05555555555555555,7.622215586404006e-06,1.0,1.0
bank,tree,13,3,in_domain,r2_realistic,learned_router_no_geometry,1.0,0.0,0.3846216521866592,0.3846216521866592,1.0,2.473559733187812,0.8056556121648311,0.0,0.05555555555555555,7.622215586404006e-06,1.0,1.0
bank,tree,13,3,in_domain,r2_realistic,learned_router_no_shift,1.0,0.0,0.3846216521866592,0.3846216521866592,1.0,2.473559733187812,0.8056556121648311,0.0,0.05555555555555555,7.622215586404006e-06,1.0,1.0
bank,tree,13,3,in_domain,r2_realistic,nn_positive_train,0.3333333333333333,0.0,5.401118086971748,2.243806672213126,6.388888888888889,2.172083106837489,672.7130416641085,671.9073860519436,,9.000003855261538e-07,0.0,0.0
bank,tree,13,3,in_domain,r2_realistic,projection_only,1.0,0.0,0.3846216521866592,0.3846216521866592,1.0,2.473559733187812,0.8056556121648311,0.0,0.05555555555555555,7.622215586404006e-06,1.0,1.0
