dataset,model_family,seed,depth,setting,constraint,method,valid,abstained,cost_l1,cost_l2,sparsity,plausibility,utility,regret,route_accuracy,runtime_sec,chosen_alpha,projection_route
german,tree,13,3,in_domain,r1_all_mutable,knn_mean_k5,1.0,0.0,12.657561043355935,2.812736097690693,29.178571428571427,2.413132033919364,14.47845941987241,-25.65001855212557,,1.07857132596629e-06,0.0,0.0
german,tree,13,3,in_domain,r1_all_mutable,learned_alpha,0.6428571428571429,0.0,1.5379699953222337,0.5620368237629936,12.321428571428571,3.246573505249924,359.7838845925383,319.6554066205403,0.5357142857142857,0.00016758570563979447,0.8968443877551049,0.0
german,tree,13,3,in_domain,r1_all_mutable,learned_router,0.7857142857142857,0.0,6.548842427456413,2.0578555374667404,9.571428571428571,2.863792991941772,221.74269709053337,181.6142191185354,0.17857142857142858,6.636072066612542e-05,0.4107142857142857,0.21428571428571427
german,tree,13,3,in_domain,r1_all_mutable,learned_router_no_geometry,0.4642857142857143,0.0,3.9529186572063955,1.3763785128648256,6.214285714285714,3.114124097554005,540.4450372718395,500.3165592998415,0.14285714285714285,4.233928796436105e-05,0.6517857142857143,0.5357142857142857
german,tree,13,3,in_domain,r1_all_mutable,learned_router_no_shift,0.8571428571428571,0.0,7.745683875344277,2.363066872537142,11.035714285714286,2.730759853778062,151.56422642483955,111.43574845284158,0.17857142857142858,7.395358157477208e-05,0.33035714285714285,0.10714285714285714
german,tree,13,3,in_domain,r1_all_mutable,nn_positive_train,1.0,0.0,11.367560285278064,3.456642779893631,12.071428571428571,2.5792139806930945,12.358013810953455,-27.77046416104452,,1.2214337142982653e-06,0.0,0.0
german,tree,13,3,in_domain,r1_all_mutable,projection_only,0.07142857142857142,0.0,0.41490307239246854,0.4086551394087,1.0357142857142858,3.40002292511933,929.5481207968745,889.4196428248766,0.10714285714285714,6.189278792589903e-06,1.0,1.0
german,tree,13,3,in_domain,r1_all_mutable,rule_router,0.07142857142857142,0.0,0.41490307239246854,0.4086551394087,1.0357142857142858,3.40002292511933,929.5481207968745,889.4196428248766,0.10714285714285714,6.189278792589903e-06,1.0,1.0
german,tree,13,3,in_domain,r1_all_mutable,safe_router,0.5714285714285714,0.42857142857142855,6.798660540537696,2.250074047508058,10.125,2.589787428728327,8.765748613391954,-31.362729358606025,0.25,0.0037562357236830784,0.4107142857142857,0.21428571428571427
german,tree,13,3,in_domain,r1_all_mutable,utility_router,0.9642857142857143,0.0,8.616838721626701,2.612258743158054,12.321428571428571,2.6314725448007077,45.34191674620395,5.21343877420597,0.21428571428571427,8.15178666796003e-05,0.25,0.0
german,tree,13,3,in_domain,r1_all_mutable,utility_router_guarded,0.9642857142857143,0.0,8.616838721626701,2.612258743158054,12.321428571428571,2.6314725448007077,45.34191674620395,5.21343877420597,0.21428571428571427,8.15178666796003e-05,0.25,0.0
german,tree,13,3,in_domain,r1_all_mutable,utility_router_no_geometry,0.9642857142857143,0.0,8.616838721626701,2.612258743158054,12.321428571428571,2.6314725448007077,45.34191674620395,5.21343877420597,0.21428571428571427,8.15178666796003e-05,0.25,0.0
german,tree,13,3,in_domain,r1_all_mutable,utility_router_no_shift,0.9642857142857143,0.0,8.616838721626701,2.612258743158054,12.321428571428571,2.6314725448007077,45.34191674620395,5.21343877420597,0.21428571428571427,8.15178666796003e-05,0.25,0.0
german,tree,13,3,in_domain,r1_immutable_only,fixed_blend,0.6785714285714286,0.0,8.153727405414156,2.5297141170148127,11.5,2.7065060871467783,330.5632747470576,6.3816690642890705,0.07142857142857142,9.983928924027299e-05,0.25,0.0
german,tree,13,3,in_domain,r1_immutable_only,fixed_blend_no_repair,0.6785714285714286,0.0,8.153727405414156,2.5297141170148127,11.5,2.7065060871467783,330.5632747470576,6.3816690642890705,0.07142857142857142,1.8407149972128017e-05,0.25,0.0
german,tree,13,3,in_domain,r1_immutable_only,knn_mean_k5,1.0,0.0,11.774246261922078,2.901239232464641,24.0,2.479822015954444,13.346219564315247,-310.8353861184533,,9.642805837626968e-07,0.0,0.0
german,tree,13,3,in_domain,r1_immutable_only,learned_alpha,0.6071428571428571,0.0,1.4024009158041264,0.6084284383702075,11.142857142857142,3.2697800290794357,395.30715363445177,71.12554795168322,0.8571428571428571,0.00018342856284497038,0.9224722870383603,0.03571428571428571
german,tree,13,3,in_domain,r1_immutable_only,learned_router,0.6785714285714286,0.0,5.665796830766877,1.8222250354194518,7.75,2.9289215135118174,327.92120648636507,3.739600803596531,0.4642857142857143,5.259642577064889e-05,0.5446428571428571,0.39285714285714285
german,tree,13,3,in_domain,r1_immutable_only,learned_router_no_geometry,0.5357142857142857,0.0,5.39954887932534,1.7736836870548707,7.392857142857143,2.971958081469862,470.50069973440293,146.3190940516344,0.35714285714285715,5.044285873217242e-05,0.5714285714285714,0.42857142857142855
german,tree,13,3,in_domain,r1_immutable_only,learned_router_no_shift,0.6785714285714286,0.0,5.665796830766877,1.8222250354194518,7.75,2.9289215135118174,327.92120648636507,3.739600803596531,0.4642857142857143,5.259642577064889e-05,0.5446428571428571,0.39285714285714285
german,tree,13,3,in_domain,r1_immutable_only,nn_positive_train,0.6785714285714286,0.0,10.711234168826888,3.3408888184561816,11.107142857142858,2.715011683461154,333.10241449277464,8.920808810006099,,1.3749938391681229e-06,0.0,0.0
german,tree,13,3,in_domain,r1_immutable_only,projection_only,0.07142857142857142,0.0,0.4812071151759568,0.4812071151759568,1.0,3.397805240016896,929.612306472607,605.4307007898385,0.39285714285714285,6.800006043964199e-06,1.0,1.0
german,tree,13,3,in_domain,r1_immutable_only,rule_router,0.07142857142857142,0.0,0.4812071151759568,0.4812071151759568,1.0,3.397805240016896,929.612306472607,605.4307007898385,0.39285714285714285,6.800006043964199e-06,1.0,1.0
german,tree,13,3,in_domain,r1_immutable_only,safe_router,0.6785714285714286,0.0,5.665796830766877,1.8222250354194518,7.75,2.9289215135118174,327.92120648636507,3.739600803596531,0.4642857142857143,5.259642577064889e-05,0.5446428571428571,0.39285714285714285
german,tree,13,3,in_domain,r1_immutable_only,utility_router,0.6785714285714286,0.0,6.324420129041379,2.0041703768748795,8.785714285714286,2.877699766187526,328.6239322368266,4.442326554058113,0.35714285714285715,6.667142900239144e-05,0.4642857142857143,0.2857142857142857
german,tree,13,3,in_domain,r1_immutable_only,utility_router_guarded,0.6785714285714286,0.0,6.324420129041379,2.0041703768748795,8.785714285714286,2.877699766187526,328.6239322368266,4.442326554058113,0.35714285714285715,6.667142900239144e-05,0.4642857142857143,0.2857142857142857
german,tree,13,3,in_domain,r1_immutable_only,utility_router_no_geometry,0.6785714285714286,0.0,6.627321401603417,2.095757555331533,9.178571428571429,2.848136283610003,328.9420418441449,4.7604361613763775,0.32142857142857145,6.626786281620818e-05,0.4375,0.25
german,tree,13,3,in_domain,r1_immutable_only,utility_router_no_shift,0.6785714285714286,0.0,7.476615804828508,2.328419444093824,10.5,2.756481214312185,329.84365941554677,5.662053732778233,0.17857142857142858,9.004999966626721e-05,0.33035714285714285,0.10714285714285714
german,tree,13,3,in_domain,r1_structural,fixed_blend,1.0,0.0,1.6945960938378022,1.2552562656176236,1.75,3.407643039558509,2.293242549771579,0.0,0.9642857142857143,6.792863132432103e-06,1.0,1.0
german,tree,13,3,in_domain,r1_structural,fixed_blend_no_repair,1.0,0.0,1.6945960938378022,1.2552562656176236,1.75,3.407643039558509,2.293242549771579,0.0,0.9642857142857143,3.5000141776565996e-06,1.0,1.0
german,tree,13,3,in_domain,r1_structural,knn_mean_k5,1.0,0.0,10.239501379098288,3.1901616178487413,11.464285714285714,2.7544134140466214,11.225877676919566,8.932635127147988,,7.928631800626005e-07,0.0,0.0
german,tree,13,3,in_domain,r1_structural,learned_alpha,1.0,0.0,1.6945960938378022,1.2552562656176236,1.75,3.407643039558509,2.293242549771579,0.0,0.9642857142857143,6.792863132432103e-06,1.0,1.0
german,tree,13,3,in_domain,r1_structural,learned_router,1.0,0.0,1.6945960938378022,1.2552562656176236,1.75,3.407643039558509,2.293242549771579,0.0,0.9642857142857143,6.792863132432103e-06,1.0,1.0
