dataset,seed,depth,setting,constraint,method,valid,abstained,cost_l1,cost_l2,sparsity,plausibility,utility,regret,route_accuracy,runtime_sec,chosen_alpha,projection_route
adult,7,3,in_domain,r1_all_mutable,utility_router_no_geometry,0.8461538461538461,0.0,4.388794118288376,1.7612764709386455,6.641025641025641,1.5387488686254127,158.7978115767873,3.29148812448248,0.1282051282051282,7.705382990817342e-05,0.3269230769230769,0.10256410256410256
adult,7,3,in_domain,r1_all_mutable,utility_router_no_shift,0.8461538461538461,0.0,4.379520783157961,1.7624991410644293,6.717948717948718,1.5357405056516096,158.79193314105697,3.2856096887521495,0.10256410256410256,8.27051161859931e-05,0.3076923076923077,0.07692307692307693
adult,7,3,in_domain,r2_realistic,fixed_blend,1.0,0.0,1.6788092490251803,1.2483598766594728,1.7179487179487178,2.119698054765041,2.0826613931373723,0.0,0.717948717948718,6.1948741905582256e-06,1.0,1.0
adult,7,3,in_domain,r2_realistic,fixed_blend_no_repair,1.0,0.0,1.6788092490251803,1.2483598766594728,1.7179487179487178,2.119698054765041,2.0826613931373723,0.0,0.717948717948718,3.887179235999401e-06,1.0,1.0
adult,7,3,in_domain,r2_realistic,knn_mean_k5,1.0,0.0,5.508528172702392,2.2702278148954944,6.6923076923076925,1.5448657525426568,6.074873420199175,3.992212027061803,,9.641099052551465e-07,0.0,0.0
adult,7,3,in_domain,r2_realistic,learned_alpha,1.0,0.0,1.6865619972900823,1.2490793335545853,2.4358974358974357,2.117820040749365,2.1260298751973585,0.04336848205998631,0.6666666666666666,0.0005496025670510322,0.9854129940993553,0.05128205128205128
adult,7,3,in_domain,r2_realistic,learned_router,1.0,0.0,1.6788092490251803,1.2483598766594728,1.7179487179487178,2.119698054765041,2.0826613931373723,0.0,0.717948717948718,6.1948741905582256e-06,1.0,1.0
adult,7,3,in_domain,r2_realistic,learned_router_no_geometry,1.0,0.0,1.6788092490251803,1.2483598766594728,1.7179487179487178,2.119698054765041,2.0826613931373723,0.0,0.717948717948718,6.1948741905582256e-06,1.0,1.0
adult,7,3,in_domain,r2_realistic,learned_router_no_shift,1.0,0.0,1.6788092490251803,1.2483598766594728,1.7179487179487178,2.119698054765041,2.0826613931373723,0.0,0.717948717948718,6.1948741905582256e-06,1.0,1.0
adult,7,3,in_domain,r2_realistic,nn_positive_train,1.0,0.0,5.042670459422653,2.2570177732446135,5.153846153846154,1.6508920809760472,5.547996579261367,3.465335186123995,,9.076902642846107e-07,0.0,0.0
adult,7,3,in_domain,r2_realistic,projection_only,1.0,0.0,1.6788092490251803,1.2483598766594728,1.7179487179487178,2.119698054765041,2.0826613931373723,0.0,0.717948717948718,6.1948741905582256e-06,1.0,1.0
adult,7,3,in_domain,r2_realistic,rule_router,1.0,0.0,1.6788092490251803,1.2483598766594728,1.7179487179487178,2.119698054765041,2.0826613931373723,0.0,0.717948717948718,6.1948741905582256e-06,1.0,1.0
adult,7,3,in_domain,r2_realistic,safe_router,0.8974358974358975,0.10256410256410256,1.5278160203423437,1.1930809131269695,1.5714285714285714,2.0390219926394355,2.0177368432019973,-0.06492454993537511,0.7435897435897436,0.0011244461579152747,1.0,1.0
adult,7,3,in_domain,r2_realistic,utility_router,1.0,0.0,1.6788092490251803,1.2483598766594728,1.7179487179487178,2.119698054765041,2.0826613931373723,0.0,0.717948717948718,6.1948741905582256e-06,1.0,1.0
adult,7,3,in_domain,r2_realistic,utility_router_guarded,1.0,0.0,1.6788092490251803,1.2483598766594728,1.7179487179487178,2.119698054765041,2.0826613931373723,0.0,0.717948717948718,6.1948741905582256e-06,1.0,1.0
adult,7,3,in_domain,r2_realistic,utility_router_no_geometry,1.0,0.0,1.6788092490251803,1.2483598766594728,1.7179487179487178,2.119698054765041,2.0826613931373723,0.0,0.717948717948718,6.1948741905582256e-06,1.0,1.0
adult,7,3,in_domain,r2_realistic,utility_router_no_shift,1.0,0.0,1.6788092490251803,1.2483598766594728,1.7179487179487178,2.119698054765041,2.0826613931373723,0.0,0.717948717948718,6.1948741905582256e-06,1.0,1.0
