dataset,seed,depth,setting,constraint,method,n_subgroups,valid_gap,cost_l1_gap,regret_gap,route_accuracy_gap
adult,7,3,exemplar_mismatch,r2_realistic,learned_alpha,2,0.0,0.08831410601870537,0.001937332307930209,0.08730158730158732
adult,7,3,exemplar_mismatch,r2_realistic,learned_router,2,0.0,0.0795329493549699,0.0,0.007936507936507908
adult,7,3,exemplar_mismatch,r2_realistic,learned_router_no_geometry,2,0.0,0.0795329493549699,0.0,0.007936507936507908
adult,7,3,exemplar_mismatch,r2_realistic,learned_router_no_shift,2,0.0,0.0795329493549699,0.0,0.007936507936507908
adult,7,3,exemplar_mismatch,r2_realistic,nn_positive_train,2,0.0,0.10420648039751068,0.18603163226777886,
adult,7,3,exemplar_mismatch,r2_realistic,projection_only,2,0.0,0.0795329493549699,0.0,0.007936507936507908
adult,7,3,exemplar_mismatch,r2_realistic,rule_router,2,0.0,0.0795329493549699,0.0,0.007936507936507908
adult,7,3,exemplar_mismatch,r2_realistic,safe_router,2,0.015873015873015928,0.0626739443520703,0.0007496036017297786,0.03968253968253965
adult,7,3,exemplar_mismatch,r2_realistic,utility_router,2,0.0,0.0795329493549699,0.0,0.007936507936507908
adult,7,3,exemplar_mismatch,r2_realistic,utility_router_guarded,2,0.0,0.0795329493549699,0.0,0.007936507936507908
adult,7,3,exemplar_mismatch,r2_realistic,utility_router_no_geometry,2,0.0,0.0795329493549699,0.0,0.007936507936507908
adult,7,3,exemplar_mismatch,r2_realistic,utility_router_no_shift,2,0.0,0.0795329493549699,0.0,0.007936507936507908
adult,7,3,in_domain,r1_all_mutable,fixed_blend,2,0.18253968253968256,0.7862501553327457,0.4151755495604412,0.05555555555555555
adult,7,3,in_domain,r1_all_mutable,fixed_blend_no_repair,2,0.18253968253968256,0.7862501553327457,0.4151755495604412,0.05555555555555555
adult,7,3,in_domain,r1_all_mutable,knn_mean_k5,2,0.0,0.9771714474420063,183.28074505243757,
adult,7,3,in_domain,r1_all_mutable,learned_alpha,2,0.12698412698412698,0.08284185282994794,55.07338526958799,0.2142857142857143
adult,7,3,in_domain,r1_all_mutable,learned_router,2,0.18253968253968256,1.1268535892904166,0.7773305227962348,0.11904761904761904
adult,7,3,in_domain,r1_all_mutable,learned_router_no_geometry,2,0.32539682539682535,1.793817604922081,141.3796980964158,0.1746031746031746
