dataset,model_family,seed,depth,setting,constraint,method,n_subgroups,valid_gap,cost_l1_gap,regret_gap,route_accuracy_gap
adult,logistic,7,3,in_domain,r1_all_mutable,safe_router,2,0.3095238095238095,0.1831253215725548,66.83791056261154,0.3095238095238096
adult,logistic,7,3,in_domain,r1_all_mutable,utility_router,2,0.37619047619047613,1.908971830004543,1.7509632179582635,0.014285714285714263
adult,logistic,7,3,in_domain,r1_all_mutable,utility_router_guarded,2,0.37619047619047613,1.908971830004543,1.7509632179582635,0.014285714285714263
adult,logistic,7,3,in_domain,r1_all_mutable,utility_router_no_geometry,2,0.37619047619047613,2.3592151687341385,2.215332716918792,0.05238095238095239
adult,logistic,7,3,in_domain,r1_all_mutable,utility_router_no_shift,2,0.37619047619047613,1.908971830004543,1.7509632179582635,0.014285714285714263
adult,logistic,7,3,in_domain,r2_realistic,fixed_blend,2,0.07777777777777783,1.8939495857397453,0.1543064267803207,0.1222222222222222
adult,logistic,7,3,in_domain,r2_realistic,fixed_blend_no_repair,2,0.14444444444444438,1.9290899914631559,222.40855220489306,0.1222222222222222
adult,logistic,7,3,in_domain,r2_realistic,knn_mean_k5,2,0.0,2.4140722416854956,78.51072556980259,
adult,logistic,7,3,in_domain,r2_realistic,learned_alpha,2,0.15555555555555556,0.9548500199315124,78.64035557468156,0.0111111111111111
adult,logistic,7,3,in_domain,r2_realistic,learned_router,2,0.05555555555555558,0.716082312030379,132.22771554837527,0.2444444444444444
adult,logistic,7,3,in_domain,r2_realistic,learned_router_no_geometry,2,0.05555555555555558,0.9546548838562443,132.48228441265485,0.1333333333333333
adult,logistic,7,3,in_domain,r2_realistic,learned_router_no_shift,2,0.15555555555555556,0.3513632786814864,231.8576400811273,0.14444444444444443
adult,logistic,7,3,in_domain,r2_realistic,nn_positive_train,2,0.2333333333333334,1.8869348034323563,311.2556960445289,
adult,logistic,7,3,in_domain,r2_realistic,projection_only,2,0.0444444444444444,1.2111111111111112,32.736213763046464,0.16666666666666663
adult,logistic,7,3,in_domain,r2_realistic,rule_router,2,0.0444444444444444,1.2111111111111112,32.736213763046464,0.16666666666666663
adult,logistic,7,3,in_domain,r2_realistic,safe_router,2,0.05555555555555558,0.39034170529920664,92.91888600038627,0.05555555555555558
adult,logistic,7,3,in_domain,r2_realistic,utility_router,2,0.14444444444444438,1.3258726392965867,221.77722126330946,0.1333333333333333
adult,logistic,7,3,in_domain,r2_realistic,utility_router_guarded,2,0.07777777777777783,2.156042801999681,0.4101487156839927,0.2444444444444444
adult,logistic,7,3,in_domain,r2_realistic,utility_router_no_geometry,2,0.05555555555555558,1.33317219505056,132.87419700755788,0.1222222222222222
adult,logistic,7,3,in_domain,r2_realistic,utility_router_no_shift,2,0.25555555555555554,1.0507306445554394,332.59281734018117,0.07777777777777778
adult,logistic,13,3,covariate_shift,r1_all_mutable,fixed_blend,2,0.044871794871794934,2.57879969618291,1.1105050583582678,0.02243589743589744
adult,logistic,13,3,covariate_shift,r1_all_mutable,fixed_blend_no_repair,2,0.044871794871794934,2.57879969618291,1.1105050583582678,0.02243589743589744
adult,logistic,13,3,covariate_shift,r1_all_mutable,knn_mean_k5,2,0.0,3.5665751345367527,42.72144378428425,
adult,logistic,13,3,covariate_shift,r1_all_mutable,learned_alpha,2,0.17307692307692307,0.9506649766325836,127.69920837627302,0.16666666666666666
adult,logistic,13,3,covariate_shift,r1_all_mutable,learned_router,2,0.08333333333333333,0.19428446796412446,37.07532475723775,0.03205128205128205
adult,logistic,13,3,covariate_shift,r1_all_mutable,learned_router_no_geometry,2,0.041666666666666664,0.13239832838975107,4.937049171671106,0.09294871794871795
adult,logistic,13,3,covariate_shift,r1_all_mutable,learned_router_no_shift,2,0.13141025641025642,0.6296356226537257,85.60755939444584,0.1506410256410256
adult,logistic,13,3,covariate_shift,r1_all_mutable,nn_positive_train,2,0.0,3.364115026793055,42.99661733433845,
adult,logistic,13,3,covariate_shift,r1_all_mutable,projection_only,2,0.041666666666666664,0.22285370435247936,4.564800268114595,0.0032051282051282493
adult,logistic,13,3,covariate_shift,r1_all_mutable,rule_router,2,0.041666666666666664,0.22285370435247936,4.564800268114595,0.0032051282051282493
adult,logistic,13,3,covariate_shift,r1_all_mutable,safe_router,2,0.08333333333333333,0.0009805855637479155,36.866527642848666,0.03205128205128205
adult,logistic,13,3,covariate_shift,r1_all_mutable,utility_router,2,0.2692307692307692,1.339644397896358,224.14850650725725,0.25
adult,logistic,13,3,covariate_shift,r1_all_mutable,utility_router_guarded,2,0.044871794871794934,2.614278492372408,1.155398155702552,0.019230769230769218
adult,logistic,13,3,covariate_shift,r1_all_mutable,utility_router_no_geometry,2,0.10256410256410253,2.1417140049641925,58.3346636862353,0.05448717948717949
adult,logistic,13,3,covariate_shift,r1_all_mutable,utility_router_no_shift,2,0.2692307692307692,1.339644397896358,224.14850650725725,0.25
adult,logistic,13,3,covariate_shift,r2_realistic,fixed_blend,2,0.21153846153846156,1.9787963781129956,40.37700119115139,0.019230769230769218
adult,logistic,13,3,covariate_shift,r2_realistic,fixed_blend_no_repair,2,0.21153846153846156,1.9787963781129956,40.37700119115139,0.019230769230769218
adult,logistic,13,3,covariate_shift,r2_realistic,knn_mean_k5,2,0.0,2.438514101809747,251.42099175534108,
adult,logistic,13,3,covariate_shift,r2_realistic,learned_alpha,2,0.22115384615384615,1.0193078935771671,31.74595048323556,0.16666666666666666
adult,logistic,13,3,covariate_shift,r2_realistic,learned_router,2,0.2692307692307692,0.47938518362803517,15.739141232541215,0.21153846153846156
adult,logistic,13,3,covariate_shift,r2_realistic,learned_router_no_geometry,2,0.09615384615384615,0.926231782279092,156.85873907805194,0.29487179487179493
adult,logistic,13,3,covariate_shift,r2_realistic,learned_router_no_shift,2,0.27564102564102566,0.6634381203462447,22.3420374757589,0.21153846153846156
adult,logistic,13,3,covariate_shift,r2_realistic,nn_positive_train,2,0.1826923076923077,2.1175294061186376,69.08424588521441,
adult,logistic,13,3,covariate_shift,r2_realistic,projection_only,2,0.012820512820512803,0.8959306274294025,240.2158941307983,0.2820512820512821
adult,logistic,13,3,covariate_shift,r2_realistic,rule_router,2,0.012820512820512803,0.9409610187894463,240.1726267917973,0.24038461538461542
adult,logistic,13,3,covariate_shift,r2_realistic,safe_router,2,0.2692307692307692,0.06726957073235895,15.362399323372074,0.21153846153846156
adult,logistic,13,3,covariate_shift,r2_realistic,utility_router,2,0.3589743589743589,1.5518153633166722,106.59352372597962,0.019230769230769218
adult,logistic,13,3,covariate_shift,r2_realistic,utility_router_guarded,2,0.21153846153846156,1.8074058526804921,40.56346467372116,0.05128205128205132
adult,logistic,13,3,covariate_shift,r2_realistic,utility_router_no_geometry,2,0.3942307692307692,1.3359596981639963,141.61782498710707,0.019230769230769218
adult,logistic,13,3,covariate_shift,r2_realistic,utility_router_no_shift,2,0.3589743589743589,1.3598917751770063,106.39219192955186,0.02243589743589744
adult,logistic,13,3,exemplar_mismatch,r1_all_mutable,fixed_blend,2,0.5565610859728507,2.2416738203629842,0.8459345745944558,0.036199095022624445
adult,logistic,13,3,exemplar_mismatch,r1_all_mutable,fixed_blend_no_repair,2,0.5565610859728507,2.2416738203629842,0.8459345745944558,0.036199095022624445
adult,logistic,13,3,exemplar_mismatch,r1_all_mutable,knn_mean_k5,2,0.0,3.8288073453928746,557.5099814634455,
adult,logistic,13,3,exemplar_mismatch,r1_all_mutable,learned_alpha,2,0.1990950226244344,0.9215106122346546,355.2222068767661,0.08144796380090497
adult,logistic,13,3,exemplar_mismatch,r1_all_mutable,learned_router,2,0.3936651583710407,1.9868380848270855,161.72394935927286,0.3619909502262443
adult,logistic,13,3,exemplar_mismatch,r1_all_mutable,learned_router_no_geometry,2,0.334841628959276,1.8047304916065463,220.3422586128952,0.3619909502262443
adult,logistic,13,3,exemplar_mismatch,r1_all_mutable,learned_router_no_shift,2,0.27601809954751133,1.2078880901340607,278.5398314747997,0.3619909502262443
adult,logistic,13,3,exemplar_mismatch,r1_all_mutable,nn_positive_train,2,0.0,3.069026311143956,556.5864072443825,
adult,logistic,13,3,exemplar_mismatch,r1_all_mutable,projection_only,2,0.018099547511312222,0.2403836519799234,571.1114617042294,0.5746606334841629
adult,logistic,13,3,exemplar_mismatch,r1_all_mutable,rule_router,2,0.018099547511312222,0.2403836519799234,571.1114617042294,0.5746606334841629
adult,logistic,13,3,exemplar_mismatch,r1_all_mutable,safe_router,2,0.3936651583710407,3.3644437203704696,162.6635735429664,0.3619909502262443
