dataset,seed,depth,setting,constraint,method,valid,cost_l1,cost_l2,sparsity,plausibility,utility,runtime_sec
bank,7,3,exemplar_mismatch,r2_realistic,dice_genetic,1.0,8.474491928026882,3.027692721425553,8.85,2.2923574437290375,9.260845544586237,0.15217025500023737
bank,7,3,in_domain,r1_all_mutable,dice_genetic,1.0,10.620093947892052,3.4759800261575187,11.35,2.2458222486850437,11.524467285194808,0.14709639498614707
bank,7,3,in_domain,r2_realistic,dice_genetic,1.0,8.823269630407978,3.151830380503936,9.15,2.4115760313049526,9.642506035103722,0.15044610000913963
bank,7,3,subgroup_shift,r1_all_mutable,dice_genetic,1.0,10.723336289609739,3.4451209357012926,11.9,2.134780826126389,11.638553413528697,0.13778843998443335
bank,7,3,subgroup_shift,r2_realistic,dice_genetic,1.0,8.287205403733417,2.95796558031806,9.0,2.6123747879554178,9.129061621926729,0.1478999599814415
bank,13,3,covariate_shift,r1_all_mutable,dice_genetic,1.0,9.859360528515642,3.2987040876125184,12.0,1.941043870325058,10.7505171090644,0.13990231498610228
bank,13,3,covariate_shift,r2_realistic,dice_genetic,1.0,7.918741136651316,2.929526010829272,9.5,2.2878399674398753,8.736917131767296,0.14063885501236656
bank,13,3,exemplar_mismatch,r1_all_mutable,dice_genetic,1.0,9.065157530926966,3.1790600615423776,9.8,2.1345300348203486,9.875337036150018,0.1432179799885489
bank,13,3,exemplar_mismatch,r2_realistic,dice_genetic,1.0,7.16213137608892,2.7371202014695104,7.8,2.156980005672103,7.875678376939734,0.14230646500946023
bank,13,3,in_domain,r1_all_mutable,dice_genetic,1.0,9.203300060966134,3.268625822186569,9.75,2.0956579652081135,10.005148755747351,0.1438050349999685
bank,13,3,in_domain,r2_realistic,dice_genetic,1.0,7.262084433634689,2.7847474455793964,7.85,2.255043747718962,7.992840995792534,0.14371895998483525
bank,13,3,subgroup_shift,r1_all_mutable,dice_genetic,1.0,7.52858928521295,2.8690918484640444,8.2,1.8751595765870388,8.219863221701008,0.1446876000147313
bank,13,3,subgroup_shift,r2_realistic,dice_genetic,1.0,5.674992899591213,2.3560113716812134,6.4,2.316748505051563,6.342505175348947,0.1422236200189218
bank,19,3,covariate_shift,r1_all_mutable,dice_genetic,1.0,9.603919887819218,3.233090374402414,11.3,2.031561636802451,10.473654133339586,0.14809393499745055
bank,19,3,covariate_shift,r2_realistic,dice_genetic,1.0,7.38245400526404,2.6801676369185286,8.95,2.35878902043602,8.183772358329444,0.13745569001184776
bank,19,3,exemplar_mismatch,r1_all_mutable,dice_genetic,1.0,10.178632332170627,3.3311745047313366,11.05,2.175850424907827,11.0575098959068,0.14266652503283694
bank,19,3,exemplar_mismatch,r2_realistic,dice_genetic,1.0,7.32780262362696,2.7492795116566593,7.85,2.447581866039557,8.087439903532893,0.1491639450076036
bank,19,3,in_domain,r1_all_mutable,dice_genetic,1.0,10.01701083498396,3.4409882931322437,10.55,2.2672545142676026,10.8845990121241,0.13827352499356493
bank,19,3,in_domain,r2_realistic,dice_genetic,1.0,7.792864578385975,2.8884666615592858,8.25,2.3737869206575275,8.561432616484606,0.14541114997700788
bank,19,3,subgroup_shift,r1_all_mutable,dice_genetic,1.0,11.047076929433251,3.597960946015281,11.5,2.0673457269923987,11.93217878848211,0.14411946000764148
bank,19,3,subgroup_shift,r2_realistic,dice_genetic,1.0,8.247707480611256,2.9363986793820893,8.8,2.4939977569422562,9.061807144152594,0.14600412002764643
german,7,3,covariate_shift,r1_all_mutable,dice_genetic,1.0,14.615687370596714,4.122003557407158,15.25,3.0563630603226604,15.836641829645114,0.1814283150131814
german,7,3,covariate_shift,r2_realistic,dice_genetic,1.0,12.832898656188572,3.761741155979859,13.8,3.049071489490274,13.980259379612116,0.18136877999058926
german,7,3,exemplar_mismatch,r1_all_mutable,dice_genetic,1.0,14.834794307923227,4.008571273836351,15.7,2.956646824419096,16.06329133158609,0.17819210000452584
german,7,3,exemplar_mismatch,r2_realistic,dice_genetic,1.0,12.588423604613496,3.725272033514126,13.2,3.103530080624181,13.713953116707122,0.17217077999957836
german,7,3,in_domain,r1_all_mutable,dice_genetic,1.0,16.263334476488374,4.219453978135728,17.1,2.852908003147569,17.54627067696051,0.17946451499010435
german,7,3,in_domain,r2_realistic,dice_genetic,1.0,13.151431790114898,3.7981955707044457,13.85,3.0428640440732715,14.30036139672589,0.169578874995932
german,7,3,subgroup_shift,r1_all_mutable,dice_genetic,1.0,15.484587977649808,4.060459073719784,16.333333333333332,2.5242892129835983,16.679898026264013,0.16778499997841814
german,7,3,subgroup_shift,r2_realistic,dice_genetic,1.0,11.540381490489684,3.5536903330084644,11.666666666666666,3.0624682650538575,12.583085063581095,0.17329216663104793
german,13,3,covariate_shift,r1_all_mutable,dice_genetic,1.0,16.753337182187433,4.496896434544956,17.1,2.7960407579136897,18.027743295874487,0.17257200498715974
german,13,3,covariate_shift,r2_realistic,dice_genetic,1.0,14.220723812259948,4.004703289199771,15.05,3.0381503433979136,15.428946363769635,0.17008924500551076
german,13,3,exemplar_mismatch,r1_all_mutable,dice_genetic,1.0,15.849680818278284,4.40580558328153,15.5,2.7049917250898328,17.030429577041758,0.17104935998795553
german,13,3,exemplar_mismatch,r2_realistic,dice_genetic,1.0,13.343600886321317,3.9048854819837073,13.65,3.069099038044375,14.486465742027974,0.16730206499341876
german,13,3,in_domain,r1_all_mutable,dice_genetic,1.0,15.575572279115226,4.285755975122355,15.4,2.7022787888796644,16.750914097447176,0.17131169000640512
german,13,3,in_domain,r2_realistic,dice_genetic,1.0,13.046189963967251,3.9409695878234636,13.1,2.987758526006527,14.149353742868232,0.166317704989342
german,13,3,subgroup_shift,r1_all_mutable,dice_genetic,1.0,15.661807684361762,4.256053388143377,15.375,2.780188510258966,16.847585960900606,0.1767961499717785
german,13,3,subgroup_shift,r2_realistic,dice_genetic,1.0,12.57270362997107,3.6094296810881934,13.0,3.291963842046372,13.716498206278025,0.1681039125105599
