query_id,dataset,guarded_utility,cascade_utility,delta_utility,outcome
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=24,adult,4.7477108669740575,4.7477108669740575,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=25,adult,0.4126190223832303,0.4126190223832303,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=27,adult,3.274749007138116,3.274749007138116,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=28,adult,2.368412011084343,2.368412011084343,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=29,adult,2.662020603834863,2.662020603834863,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=30,adult,2.4880646948489287,2.4880646948489287,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=31,adult,2.473231214868813,2.473231214868813,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=32,adult,0.2834291373919879,0.2834291373919879,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=34,adult,4.034105677784831,4.034105677784831,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=35,adult,0.2122899090200644,0.2122899090200644,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=36,adult,0.2891841202201437,0.2891841202201437,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=38,adult,2.480406310381852,2.480406310381852,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=in_domain|row=39,adult,2.536457859528514,2.536457859528514,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=0,adult,2.8700893787956283,2.8700893787956283,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=2,adult,3.912287369351109,3.912287369351109,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=3,adult,2.6977612555477943,2.6977612555477943,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=4,adult,2.7886697907414644,2.7886697907414644,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=5,adult,5.970712981018732,5.970712981018732,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=7,adult,5.032443847164655,5.032443847164655,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=9,adult,2.5945080925655843,2.5945080925655843,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=11,adult,0.5981252703348596,0.5981252703348596,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=12,adult,2.7654313815639315,2.7654313815639315,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=13,adult,0.6525401010744083,0.6525401010744083,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=14,adult,2.8878153970381453,2.8878153970381453,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=15,adult,0.5932355343662018,0.5932355343662018,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=16,adult,0.605665515411778,0.605665515411778,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=17,adult,0.6284490825636753,0.6284490825636753,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=19,adult,2.7082028755111063,2.7082028755111063,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=20,adult,2.7160290616145044,2.7160290616145044,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=21,adult,1.5552362799039867,1.5552362799039867,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=22,adult,4.993931879246222,4.993931879246222,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=23,adult,0.9825003312473988,0.9825003312473988,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=24,adult,4.989509435323363,4.989509435323363,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=25,adult,0.6264347689538647,0.6264347689538647,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=27,adult,3.4664267840624605,3.4664267840624605,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=28,adult,2.5144883054084683,2.5144883054084683,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=29,adult,2.8222934310087133,2.8222934310087133,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=30,adult,2.705518887845683,2.705518887845683,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=31,adult,2.49348463276098,2.49348463276098,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=32,adult,0.5195327818376279,0.5195327818376279,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=34,adult,4.202411830310613,4.202411830310613,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=35,adult,0.4901793555024022,0.4901793555024022,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=36,adult,0.5526606315994651,0.5526606315994651,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=38,adult,2.7168364445954136,2.7168364445954136,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=covariate_shift|row=39,adult,2.492958283873923,2.492958283873923,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=0,adult,2.680662120633306,2.680662120633306,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=2,adult,3.695817505739002,3.695817505739002,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=3,adult,2.494134635103798,2.494134635103798,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=4,adult,2.551294674539973,2.551294674539973,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=5,adult,5.749107189730499,5.749107189730499,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=7,adult,4.811117764631344,4.811117764631344,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=9,adult,2.610046463179811,2.610046463179811,0.0,tie
adult|model=tree|seed=13|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=11,adult,0.3719195495139403,0.3719195495139403,0.0,tie
