dataset,seed,depth,setting,constraint,method,valid,cost_l1,cost_l2,sparsity,plausibility,utility,runtime_sec
bank,7,3,subgroup_shift,r2_realistic,dice_random,1.0,5.32852170702995,3.841913204870486,3.0,3.423739785826869,5.9920826749039815,0.06363386999582872
bank,13,3,covariate_shift,r1_all_mutable,dice_random,1.0,5.130298883735897,3.3454589688974714,3.45,3.114414390658337,5.769961042334648,0.0749050900049042
bank,13,3,covariate_shift,r2_realistic,dice_random,1.0,4.87187780824944,3.279606159809802,3.25,3.2532176503086867,5.522360455795743,0.07646469500614331
bank,13,3,exemplar_mismatch,r1_all_mutable,dice_random,1.0,4.144954264442074,2.8087753682244765,2.9,2.924173291859333,4.728580258220974,0.0612380700011272
bank,13,3,exemplar_mismatch,r2_realistic,dice_random,1.0,4.849257688386163,3.2841123544796345,3.0,3.0364622682522078,5.454727028623994,0.06385715999640525
bank,13,3,in_domain,r1_all_mutable,dice_random,1.0,5.238376069737571,3.656103509270294,3.1,3.050902510375328,5.85101144629387,0.06398562501417474
bank,13,3,in_domain,r2_realistic,dice_random,1.0,4.7149421755558025,3.3188566166669085,3.0,3.0337056318770736,5.319998020337363,0.06482766500557773
bank,13,3,subgroup_shift,r1_all_mutable,dice_random,1.0,3.778620128138781,3.0188289296853257,2.4,2.9953309178837677,4.347919765821347,0.059409220004454255
bank,13,3,subgroup_shift,r2_realistic,dice_random,1.0,3.9788500990337576,2.8735779853030143,2.6,2.8668386702410147,4.53887589956991,0.06153341995086521
bank,19,3,covariate_shift,r1_all_mutable,dice_random,1.0,4.160198416506194,2.5280028774755885,3.4,3.0179584363636547,4.782892181960743,0.07420847500907257
bank,19,3,covariate_shift,r2_realistic,dice_random,1.0,4.413788206158375,2.6660574927286036,3.4,3.0748170155686765,5.045010758493676,0.07670727000222541
bank,19,3,exemplar_mismatch,r1_all_mutable,dice_random,1.0,4.604441118986697,2.880928337162529,3.4,2.909861788178768,5.2109203872135135,0.06549568000482395
bank,19,3,exemplar_mismatch,r2_realistic,dice_random,1.0,3.705299928862437,2.303228065938632,3.15,2.924398083334531,4.301459641362617,0.06484390999539755
bank,19,3,in_domain,r1_all_mutable,dice_random,1.0,4.82430909992649,3.2253373647333574,3.1,3.1211771071036156,5.447485665992032,0.06310078999376856
bank,19,3,in_domain,r2_realistic,dice_random,1.0,5.2999969168568155,3.7533792119513834,3.15,3.467305367394735,5.977592721966025,0.06330010500969366
bank,19,3,subgroup_shift,r1_all_mutable,dice_random,1.0,4.682512160059223,3.2704454798953493,3.2,3.3221509794619477,5.340834806978515,0.06075624000513926
bank,19,3,subgroup_shift,r2_realistic,dice_random,1.0,4.497279846600884,2.995849366992416,3.0,3.2278200670785373,5.131452856662665,0.06514295999659225
german,7,3,covariate_shift,r1_all_mutable,dice_random,1.0,3.8128586937111577,2.339526936009931,3.0,3.7018741090377496,4.51813981006682,0.0760284949967172
german,7,3,covariate_shift,r2_realistic,dice_random,1.0,3.4953939696240157,2.008602090796671,3.25,3.6559458771277376,4.206285851193176,0.077400634996593
german,7,3,exemplar_mismatch,r1_all_mutable,dice_random,1.0,3.5938942371349514,2.190724426143484,3.05,3.5905412602546543,4.284975426173149,0.06926848500734195
german,7,3,exemplar_mismatch,r2_realistic,dice_random,1.0,3.586201362735325,2.17445563095992,3.15,3.5085405202591047,4.269982440774191,0.06694683998357505
german,7,3,in_domain,r1_all_mutable,dice_random,1.0,3.522759114929093,2.0433559321326333,3.15,3.5846096455278733,4.217950561758274,0.07155579501995817
german,7,3,in_domain,r2_realistic,dice_random,1.0,3.7337637780974426,2.31357219457693,3.1,3.7360695697316317,4.449174213557187,0.06911144501063973
german,7,3,subgroup_shift,r1_all_mutable,dice_random,1.0,3.307054783388954,2.0862596733653773,2.6666666666666665,3.4438554537326187,3.95696643478218,0.05610049997145931
german,7,3,subgroup_shift,r2_realistic,dice_random,1.0,2.669362839122304,1.5336588463953176,2.6666666666666665,3.7228987828768765,3.361130989887169,0.07200496670945238
german,13,3,covariate_shift,r1_all_mutable,dice_random,1.0,3.7094340312167944,2.086565247138525,3.45,3.7209908472385953,4.440082658302584,0.07565288999467157
german,13,3,covariate_shift,r2_realistic,dice_random,1.0,3.7559314847353527,2.1135730181458348,3.45,3.734730880775074,4.488641116851614,0.08673917499836534
german,13,3,exemplar_mismatch,r1_all_mutable,dice_random,1.0,3.904083867054122,2.1327792338656932,3.65,3.6124726846854847,4.628454769756945,0.06633844000170938
german,13,3,exemplar_mismatch,r2_realistic,dice_random,1.0,3.954143849609114,2.2932360989112293,3.45,3.6549059888488022,4.674879747936434,0.07832132501062006
