dataset,seed,depth,setting,constraint,method,valid,cost_l1,cost_l2,sparsity,plausibility,utility,runtime_sec
german,13,3,exemplar_mismatch,r2_realistic,tree_milp_l1,1.0,2.0000000450225164,1.4142135623730954,2.0,3.4528779231287365,2.617931733491827,0.0959190150082577
german,13,3,in_domain,r1_all_mutable,tree_milp_l1,1.0,2.0000000450225164,1.4142135623730954,2.0,3.4528779231287365,2.617931733491827,0.09584867499070242
german,13,3,in_domain,r2_realistic,tree_milp_l1,1.0,2.0000000450225164,1.4142135623730954,2.0,3.4528779231287365,2.617931733491827,0.09695291999960318
german,13,3,subgroup_shift,r1_all_mutable,tree_milp_l1,1.0,2.0000000390035244,1.4142135623730954,2.0,3.5185878313139485,2.6277882137006165,0.09736622500349768
german,13,3,subgroup_shift,r2_realistic,tree_milp_l1,1.0,2.0000000390035244,1.4142135623730954,2.0,3.5185878313139485,2.6277882137006165,0.09556309996696655
german,19,3,covariate_shift,r1_all_mutable,tree_milp_l1,1.0,2.0000000908839746,1.4142135623730963,2.0,3.4097949351576347,2.6114693311576196,0.12074169002007692
german,19,3,covariate_shift,r2_realistic,tree_milp_l1,1.0,2.0000000908839746,1.4142135623730963,2.0,3.4097949351576347,2.6114693311576196,0.12085943502024747
german,19,3,exemplar_mismatch,r1_all_mutable,tree_milp_l1,1.0,2.0000000505053905,1.4142135623730954,2.0,3.337965596698539,2.600694890010171,0.12114390499773435
german,19,3,exemplar_mismatch,r2_realistic,tree_milp_l1,1.0,2.0000000505053905,1.4142135623730954,2.0,3.337965596698539,2.600694890010171,0.12144535000552423
german,19,3,in_domain,r1_all_mutable,tree_milp_l1,1.0,2.0000000505053905,1.4142135623730954,2.0,3.337965596698539,2.600694890010171,0.14617449500365182
german,19,3,in_domain,r2_realistic,tree_milp_l1,1.0,2.0000000505053905,1.4142135623730954,2.0,3.337965596698539,2.600694890010171,0.12103498500073329
german,19,3,subgroup_shift,r1_all_mutable,tree_milp_l1,1.0,2.000000038229008,1.4142135623730954,2.0,3.1596908457062276,2.573953665084942,0.11991797501104884
german,19,3,subgroup_shift,r2_realistic,tree_milp_l1,1.0,2.000000038229008,1.4142135623730954,2.0,3.1596908457062276,2.573953665084942,0.1246631000249181
