dataset,constraint,query_id,utility_guarded,valid_guarded,utility_tree_milp,valid_tree_milp,milp_better,guarded_better,tie
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=13,1.0864272899298535,1.0,2.4153286921373582,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=14,0.6700862922201776,1.0,2.455656706756808,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=16,1.0822185840506706,1.0,2.425828658742903,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=19,0.6495905818381837,1.0,2.444737471832193,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=30,1.508278134869831,1.0,2.410720042907445,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=33,0.5982189652161893,1.0,2.4244024963816884,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=40,0.707098566775529,1.0,2.479607522554619,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=42,1.1022005016446528,1.0,2.4269983916827136,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=60,1.0006712752305038,1.0,2.3977169372890224,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=61,0.6144840871254698,1.0,2.4073175243606677,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=62,1.09953914297421,1.0,2.426202298228572,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=64,0.6644844532819065,1.0,2.447797824035976,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=70,2.4649472520528617,1.0,2.4649473172947305,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=78,3.6738420210395,1.0,3.673842092463732,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=80,2.415111670587,1.0,2.415111681272702,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=covariate_shift|row=82,0.6814196962572376,1.0,2.484034988748769,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=4,1.3205764910335671,1.0,2.324356179672243,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=7,2.4117890863421265,1.0,2.411789102905487,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=9,2.5052435086246785,1.0,2.5052435768216217,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=10,0.5716090645340405,1.0,2.432935715639627,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=11,1.4177223027790755,1.0,2.366199746385018,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=13,2.396496981830176,1.0,2.3964969976084958,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=14,1.4084543915271015,1.0,2.411831596213385,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=16,2.404362915646551,1.0,2.4043629295144524,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=19,1.3797560062691092,1.0,2.432639547446648,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=30,2.4034663406569425,1.0,2.403466381955783,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=33,1.332893290917788,1.0,2.388495231276316,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=40,1.4376123207788374,1.0,2.4454109744811183,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=42,2.4108266515377665,1.0,2.410826665916956,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=48,0.8941284747389429,1.0,2.375667906870239,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=56,0.5392709772870727,1.0,2.392034168620985,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=60,2.3923690094408188,1.0,2.392369022888491,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=61,1.356048161307329,1.0,2.399309857127353,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=62,2.407681893318287,1.0,2.4076819092086037,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=64,1.4031546707674505,1.0,2.417788641224244,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=exemplar_mismatch|row=70,2.470532876307544,1.0,2.470532947527815,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=1,2.4117890863421265,1.0,2.411789102905487,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=2,0.5716090645340405,1.0,2.432935715639627,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=3,1.3797560062691092,1.0,2.432639547446648,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=7,1.4376123207788374,1.0,2.4454109744811183,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=9,0.8941284747389429,1.0,2.375667906870239,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=12,2.3923690094408188,1.0,2.392369022888491,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=13,1.4031546707674505,1.0,2.417788641224244,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=15,2.470532876307544,1.0,2.470532947527815,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=18,2.4356975075802336,1.0,2.4356975333288435,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=20,2.3822723864958646,1.0,2.382272436147377,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=21,1.4392268445559633,1.0,2.439171461837006,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=22,2.394262176724916,1.0,2.3942621902458208,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=23,2.404643905328177,1.0,2.404643918159342,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=25,2.345569024863739,1.0,2.345569038635684,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=27,3.5016974853135494,1.0,3.501697542872789,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=28,3.5558651580478413,1.0,3.555865174635409,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=29,2.4848368487621104,1.0,2.484836860804952,1.0,0,1,0
adult,r2_realistic,adult|seed=7|depth=3|constraint=r2_realistic|setting=subgroup_shift|row=30,2.5496300764092794,1.0,2.549630100805359,1.0,0,1,0
adult,r1_all_mutable,adult|seed=13|depth=3|constraint=r1_all_mutable|setting=in_domain|row=1,4.3885261056049645,1.0,2.3957597840135207,1.0,1,0,0
adult,r1_all_mutable,adult|seed=13|depth=3|constraint=r1_all_mutable|setting=in_domain|row=2,5.374566201141588,1.0,2.396868717964636,1.0,1,0,0
adult,r1_all_mutable,adult|seed=13|depth=3|constraint=r1_all_mutable|setting=in_domain|row=3,4.221853430794076,1.0,2.3824165872211323,1.0,1,0,0
adult,r1_all_mutable,adult|seed=13|depth=3|constraint=r1_all_mutable|setting=in_domain|row=5,5.594591830176352,1.0,2.38921702607741,1.0,1,0,0
adult,r1_all_mutable,adult|seed=13|depth=3|constraint=r1_all_mutable|setting=in_domain|row=9,6.9740187486566,1.0,2.444724952083485,1.0,1,0,0
adult,r1_all_mutable,adult|seed=13|depth=3|constraint=r1_all_mutable|setting=in_domain|row=10,6.158584631769043,1.0,2.4276916280915284,1.0,1,0,0
adult,r1_all_mutable,adult|seed=13|depth=3|constraint=r1_all_mutable|setting=in_domain|row=13,6.075495780412607,1.0,2.3861877061261025,1.0,1,0,0
adult,r1_all_mutable,adult|seed=13|depth=3|constraint=r1_all_mutable|setting=in_domain|row=15,6.733894681914551,1.0,2.4587122494506346,1.0,1,0,0
adult,r1_all_mutable,adult|seed=13|depth=3|constraint=r1_all_mutable|setting=in_domain|row=16,5.583245912370415,1.0,2.396010122437577,1.0,1,0,0
adult,r1_all_mutable,adult|seed=13|depth=3|constraint=r1_all_mutable|setting=in_domain|row=17,7.24545681160761,1.0,2.528190674872336,1.0,1,0,0
adult,r1_all_mutable,adult|seed=13|depth=3|constraint=r1_all_mutable|setting=in_domain|row=18,5.290399019574449,1.0,2.39534693799067,1.0,1,0,0
adult,r1_all_mutable,adult|seed=13|depth=3|constraint=r1_all_mutable|setting=in_domain|row=19,7.643491594464878,1.0,2.505038735002781,1.0,1,0,0
adult,r1_all_mutable,adult|seed=13|depth=3|constraint=r1_all_mutable|setting=in_domain|row=20,5.836743156821776,1.0,4.237276598119987,1.0,1,0,0
adult,r1_all_mutable,adult|seed=13|depth=3|constraint=r1_all_mutable|setting=in_domain|row=21,0.7124701793595615,1.0,0.9960012184754778,1.0,0,1,0
