dataset,seed,depth,setting,constraint,method,valid,abstained,cost_l1,cost_l2,sparsity,plausibility,utility,regret,route_accuracy,runtime_sec,chosen_alpha,projection_route
bank,7,3,in_domain,r2_realistic,utility_router,1.0,0.0,0.6299774013404241,0.6299774013404241,1.0,2.4891743548816976,1.0533535545726789,0.0,0.5806451612903226,7.749997049329742e-06,1.0,1.0
bank,7,3,in_domain,r2_realistic,utility_router_no_geometry,1.0,0.0,0.6299774013404241,0.6299774013404241,1.0,2.4891743548816976,1.0533535545726789,0.0,0.5806451612903226,7.749997049329742e-06,1.0,1.0
bank,7,3,in_domain,r2_realistic,utility_router_no_shift,1.0,0.0,0.6299774013404241,0.6299774013404241,1.0,2.4891743548816976,1.0533535545726789,0.0,0.5806451612903226,7.749997049329742e-06,1.0,1.0
bank,7,3,subgroup_shift,r1_all_mutable,fixed_blend,0.5,0.0,6.174237935694221,1.9564105305110857,10.0,2.021845296591376,506.9775147301829,5.570923616525041,0.25,0.00017938748351298273,0.25,0.0
bank,7,3,subgroup_shift,r1_all_mutable,fixed_blend_no_repair,0.375,0.0,6.767510234709401,2.1681346212592265,10.875,1.9113053812344223,632.5979560418946,131.19136492823668,0.25,1.4949997421354055e-05,0.25,0.0
bank,7,3,subgroup_shift,r1_all_mutable,knn_mean_k5,1.0,0.0,9.117326276277481,2.5208293551398993,20.5,1.8351593884828463,10.417600184549908,-490.988990929108,,1.1625088518485427e-06,0.0,0.0
bank,7,3,subgroup_shift,r1_all_mutable,learned_alpha,0.375,0.0,1.5798521849516074,0.5624214430687581,9.375,2.5791974669295348,627.435481804991,126.02889069133313,0.125,0.0002855500060832128,0.79809699069093,0.125
bank,7,3,subgroup_shift,r1_all_mutable,learned_router,0.5,0.0,4.314064616129587,1.4369433663352689,7.375,2.217775334579582,505.0154809163165,3.608889802658638,0.25,8.293746213894337e-05,0.53125,0.375
bank,7,3,subgroup_shift,r1_all_mutable,learned_router_no_geometry,0.375,0.0,3.313485368008594,1.1086236171758173,5.625,2.3440417666357236,628.946341633004,127.53975051934606,0.375,0.000132774977828376,0.625,0.5
bank,7,3,subgroup_shift,r1_all_mutable,learned_router_no_shift,0.375,0.0,5.204887225750854,1.5744947326775418,8.5,2.129773607177589,630.9493532668275,129.5427621531696,0.0,8.37624684209004e-05,0.53125,0.375
bank,7,3,subgroup_shift,r1_all_mutable,nn_positive_train,1.0,0.0,8.911754518936588,2.885758390233218,10.25,1.8695194789871397,9.704682440784659,-491.70190867287323,,9.500072337687016e-07,0.0,0.0
bank,7,3,subgroup_shift,r1_all_mutable,projection_only,0.375,0.0,0.3990268856797041,0.3990268856797041,1.0,2.7846131520635096,625.8667188584892,124.46012774483131,0.625,6.624977686442435e-06,1.0,1.0
bank,7,3,subgroup_shift,r1_all_mutable,rule_router,0.375,0.0,0.3990268856797041,0.3990268856797041,1.0,2.7846131520635096,625.8667188584892,124.46012774483131,0.625,6.624977686442435e-06,1.0,1.0
bank,7,3,subgroup_shift,r1_all_mutable,safe_router,0.5,0.5,1.3107149141255952,0.6401884255351696,2.75,2.748002783573455,501.6251001686046,0.21850905494667927,0.25,0.0037380999856395647,0.53125,0.375
bank,7,3,subgroup_shift,r1_all_mutable,utility_router,0.5,0.0,4.314064616129587,1.4369433663352689,7.375,2.217775334579582,505.0154809163165,3.608889802658638,0.25,8.293746213894337e-05,0.53125,0.375
bank,7,3,subgroup_shift,r1_all_mutable,utility_router_no_geometry,0.375,0.0,5.6679073643111275,1.7853432034232048,9.125,2.089900738020729,631.4376424750143,130.03105136135636,0.125,0.00016943748050834984,0.34375,0.125
bank,7,3,subgroup_shift,r1_all_mutable,utility_router_no_shift,0.5,0.0,4.314064616129587,1.4369433663352689,7.375,2.217775334579582,505.0154809163165,3.608889802658638,0.25,8.293746213894337e-05,0.53125,0.375
bank,7,3,subgroup_shift,r2_realistic,fixed_blend,1.0,0.0,0.6885603452792408,0.6885603452792408,1.0,2.7394875425287584,1.1494834766585544,0.0,0.75,5.074965883977711e-06,1.0,1.0
bank,7,3,subgroup_shift,r2_realistic,fixed_blend_no_repair,1.0,0.0,0.6885603452792408,0.6885603452792408,1.0,2.7394875425287584,1.1494834766585544,0.0,0.75,3.600012860260904e-06,1.0,1.0
bank,7,3,subgroup_shift,r2_realistic,knn_mean_k5,1.0,0.0,6.354045269510102,2.3274944300502485,7.875,2.203036711778928,7.078250776276941,5.928767299618386,,7.250055205076933e-07,0.0,0.0
