dataset,seed,depth,setting,constraint,method,n_subgroups,valid_gap,cost_l1_gap,regret_gap,route_accuracy_gap
adult,7,3,covariate_shift,r2_realistic,fixed_blend,2,0.07051282051282048,0.025909154449222704,0.2941647821313267,0.08974358974358973
adult,7,3,covariate_shift,r2_realistic,fixed_blend_no_repair,2,0.07051282051282048,0.025909154449222704,0.2941647821313267,0.08974358974358973
adult,7,3,covariate_shift,r2_realistic,knn_mean_k5,2,0.0,0.18124570316711175,70.43043141672682,
adult,7,3,covariate_shift,r2_realistic,learned_alpha,2,0.02564102564102566,0.6111558980392836,95.29438631881013,0.10897435897435892
adult,7,3,covariate_shift,r2_realistic,learned_router,2,0.14743589743589736,0.8534835033649233,76.29001074230196,0.05128205128205132
adult,7,3,covariate_shift,r2_realistic,learned_router_no_geometry,2,0.14743589743589736,0.41961653769039486,76.76349905066427,0.019230769230769218
adult,7,3,covariate_shift,r2_realistic,learned_router_no_shift,2,0.14743589743589736,0.8534835033649233,76.29001074230196,0.05128205128205132
adult,7,3,covariate_shift,r2_realistic,nn_positive_train,2,0.0,0.04415638864772298,70.19831442931083,
adult,7,3,covariate_shift,r2_realistic,projection_only,2,0.012820512820512803,0.5480905287768015,56.899267210687526,0.05769230769230771
adult,7,3,covariate_shift,r2_realistic,rule_router,2,0.012820512820512803,0.5480905287768015,56.899267210687526,0.05769230769230771
adult,7,3,covariate_shift,r2_realistic,safe_router,2,0.14743589743589747,0.0806646472225292,70.49417348559363,0.03205128205128205
adult,7,3,covariate_shift,r2_realistic,utility_router,2,0.07051282051282048,0.025909154449222704,0.2941647821313267,0.08974358974358973
adult,7,3,covariate_shift,r2_realistic,utility_router_no_geometry,2,0.07051282051282048,0.12379609557753568,0.40776015831025036,0.09615384615384615
adult,7,3,covariate_shift,r2_realistic,utility_router_no_shift,2,0.07051282051282048,0.025909154449222704,0.2941647821313267,0.08974358974358973
adult,7,3,exemplar_mismatch,r1_all_mutable,fixed_blend,2,0.25,0.5132918025889444,1.195693845570771,0.3333333333333333
